threshold,accuracy,precision,recall,f1
0.1,0.4994949494949495,0.4465799886941775,0.9850374064837906,0.6145468689225982
0.15,0.5464646464646464,0.470873786407767,0.9675810473815462,0.6334693877551021
0.2,0.5888888888888889,0.4961139896373057,0.9551122194513716,0.6530264279624893
0.25,0.6338383838383839,0.527246992215145,0.928927680798005,0.672686230248307
0.3,0.6651515151515152,0.5531752104055088,0.9014962593516209,0.6856330014224751
0.35,0.6904040404040404,0.5785536159600998,0.8678304239401496,0.6942643391521197
0.4,0.7080808080808081,0.6014492753623188,0.827930174563591,0.6967471143756558
0.45,0.7292929292929293,0.6324701195219123,0.7917705735660848,0.7032115171650055
0.5,0.7313131313131314,0.6480263157894737,0.7369077306733167,0.6896149358226371
0.55,0.7414141414141414,0.6781326781326781,0.6882793017456359,0.6831683168316832
0.6,0.7439393939393939,0.7023319615912208,0.6384039900249376,0.6688438928804703
0.65,0.7459595959595959,0.7399678972712681,0.5748129675810474,0.6470175438596492
0.7,0.7353535353535353,0.7693798449612403,0.49501246882793015,0.6024279210925645
0.75,0.7176767676767677,0.8014888337468983,0.4027431421446384,0.5360995850622406
0.8,0.704040404040404,0.8506493506493507,0.3266832917705736,0.4720720720720721
0.85,0.6797979797979798,0.8818181818181818,0.24189526184538654,0.3796477495107632
0.9,0.6424242424242425,0.8916666666666667,0.13341645885286782,0.23210412147505424
